"airline","origin_airport","stopover_airport","destination_airport","origin_departure_delay","stopover_arrival_delay","stopover_departure_delay","destination_arrival_delay"
"DL","SFO","LAX","JFK","-5.0","-5.0","-4.0","-10.0"
"DL","SFO","LAX","JFK","-5.0","-5.0","109.0","108.0"
"B6","SFO","BOS","JFK","26.0","32.0","-2.0","-12.0"
"DL","SFO","LAX","JFK","3.0","-8.0","3.0","12.0"
"DL","SFO","LAX","JFK","-6.0","-7.0","-4.0","12.0"
"B6","SFO","LAS","JFK","44.0","45.0","0.0","27.0"
"VX","SFO","LAX","JFK","-5.0","-9.0","-1.0","0.0"
"B6","SFO","BOS","JFK","-6.0","-17.0","8.0","0.0"
"DL","SFO","ATL","JFK","-3.0","15.0","-1.0","-22.0"
"DL","SFO","ATL","JFK","-3.0","-13.0","0.0","-16.0"
"DL","SFO","ATL","JFK","0.0","-13.0","1.0","-18.0"
"VX","SFO","LAX","JFK","-5.0","0.0","-1.0","-20.0"
"AS","SFO","SEA","JFK","16.0","9.0","5.0","-26.0"
"AA","SFO","LAX","JFK","14.0","17.0","18.0","29.0"
"AA","SFO","LAX","JFK","-4.0","13.0","3.0","-7.0"
"AA","SFO","LAX","JFK","-4.0","13.0","-7.0","-22.0"
"VX","SFO","LAX","JFK","-1.0","-6.0","0.0","-16.0"
"AA","SFO","ORD","JFK","-2.0","-25.0","-5.0","-18.0"
"DL","SFO","ATL","JFK","5.0","4.0","-5.0","-33.0"
"VX","SFO","LAX","JFK","-3.0","1.0","89.0","62.0"
"VX","SFO","LAS","JFK","47.0","54.0","0.0","-14.0"
"DL","SFO","SLC","JFK","-6.0","-18.0","-2.0","0.0"
"DL","SFO","ATL","JFK","-1.0","-16.0","70.0","90.0"
"DL","SFO","ATL","JFK","-3.0","-13.0","26.0","2.0"
"AA","SFO","LAX","JFK","-1.0","1.0","58.0","56.0"
"AA","SFO","PHX","JFK","17.0","11.0","-4.0","-11.0"
"AA","SFO","DFW","JFK","-4.0","-20.0","-1.0","-2.0"
"VX","SFO","LAS","JFK","12.0","11.0","-8.0","3.0"
"AA","SFO","LAX","JFK","2.0","-5.0","17.0","4.0"
"AA","SFO","LAX","JFK","2.0","-5.0","-4.0","-9.0"
"AA","SFO","CLT","JFK","-5.0","-14.0","30.0","41.0"
"VX","SFO","LAX","JFK","10.0","10.0","-3.0","7.0"
"DL","SFO","LAX","JFK","-2.0","-6.0","-11.0","-9.0"
"DL","SFO","LAX","JFK","18.0","16.0","-11.0","-4.0"
"AA","SFO","CLT","JFK","1.0","18.0","14.0","6.0"
"VX","SFO","LAX","JFK","86.0","78.0","2.0","-1.0"
"AA","SFO","MIA","JFK","130.0","120.0","-1.0","-14.0"
"DL","SFO","ATL","JFK","7.0","-7.0","8.0","-13.0"
"B6","SFO","FLL","JFK","-7.0","29.0","11.0","-5.0"
"B6","SFO","FLL","JFK","-7.0","29.0","226.0","206.0"
"AA","SFO","PHX","JFK","1.0","-6.0","-3.0","-26.0"
"AA","SFO","MIA","JFK","-3.0","-26.0","3.0","10.0"
"VX","SFO","LAX","JFK","0.0","-7.0","4.0","-23.0"
"VX","SFO","LAX","JFK","6.0","3.0","-1.0","-38.0"
"AA","SFO","PHX","JFK","-3.0","-5.0","1.0","-41.0"
"B6","SFO","LAS","JFK","12.0","-2.0","-5.0","-35.0"
"AA","SFO","LAX","JFK","-5.0","-7.0","-5.0","-15.0"
"AA","SFO","LAX","JFK","-5.0","-7.0","3.0","6.0"
"VX","SFO","LAX","JFK","-1.0","-6.0","-5.0","1.0"
"AA","SFO","PHX","JFK","-1.0","-7.0","-6.0","-6.0"
"VX","SFO","LAX","JFK","0.0","13.0","-1.0","0.0"
"DL","SFO","LAX","JFK","-5.0","11.0","-4.0","-36.0"
"VX","SFO","LAX","JFK","30.0","20.0","0.0","-16.0"
"AA","SFO","LAX","JFK","6.0","-1.0","-1.0","-15.0"
"B6","SFO","FLL","JFK","-3.0","-3.0","15.0","15.0"
"B6","SFO","FLL","JFK","-3.0","-3.0","-1.0","-3.0"
"VX","SFO","LAX","JFK","54.0","50.0","7.0","11.0"
"VX","SFO","LAX","JFK","54.0","50.0","64.0","42.0"
"AS","SFO","SEA","JFK","11.0","9.0","-3.0","-18.0"
"DL","SFO","LAX","JFK","22.0","68.0","14.0","-6.0"
"AA","SFO","ORD","JFK","7.0","1.0","90.0","88.0"
"AA","SFO","CLT","JFK","-8.0","0.0","5.0","32.0"
"VX","SFO","LAX","JFK","-1.0","-3.0","18.0","-3.0"
"DL","SFO","LAX","JFK","-1.0","1.0","-2.0","-15.0"
"DL","SFO","LAX","JFK","-2.0","-6.0","15.0","7.0"
"DL","SFO","MSP","JFK","-5.0","-7.0","-5.0","-7.0"
"AA","SFO","ORD","JFK","4.0","9.0","25.0","14.0"
"AA","SFO","PHX","JFK","4.0","2.0","9.0","14.0"
"AA","SFO","ORD","JFK","3.0","-14.0","-2.0","2.0"
"DL","SFO","LAX","JFK","47.0","40.0","-2.0","-9.0"
"DL","SFO","LAX","JFK","-1.0","-8.0","33.0","1.0"
"DL","SFO","LAX","JFK","-1.0","-8.0","-7.0","-22.0"
"VX","SFO","LAX","JFK","-4.0","0.0","-2.0","14.0"
"B6","SFO","LAS","JFK","15.0","8.0","-6.0","-5.0"
"VX","SFO","LAX","JFK","-2.0","-11.0","-4.0","-7.0"
"VX","SFO","LAX","JFK","-3.0","-12.0","-1.0","2.0"
"AS","SFO","SEA","JFK","-4.0","-3.0","0.0","-23.0"
"VX","SFO","LAS","JFK","-5.0","-15.0","-1.0","-6.0"
"AA","SFO","PHX","JFK","-4.0","-9.0","9.0","12.0"
"AS","SFO","SEA","JFK","58.0","60.0","6.0","-15.0"
"B6","SFO","LAS","JFK","62.0","46.0","-2.0","-11.0"
"B6","SFO","BOS","JFK","7.0","3.0","-1.0","-5.0"
"AA","SFO","MIA","JFK","-10.0","-4.0","5.0","2.0"
"AS","SFO","SEA","JFK","0.0","9.0","8.0","-25.0"
"VX","SFO","LAS","JFK","121.0","117.0","59.0","75.0"
"B6","SFO","LAS","JFK","-1.0","-8.0","-1.0","-11.0"
"VX","SFO","LAX","JFK","-6.0","-9.0","18.0","9.0"
"VX","SFO","LAX","JFK","-6.0","-9.0","12.0","7.0"
"VX","SFO","LAX","JFK","1.0","-5.0","12.0","7.0"
"DL","SFO","LAX","JFK","10.0","-2.0","0.0","-20.0"
"VX","SFO","LAX","JFK","39.0","35.0","14.0","-9.0"
"B6","SFO","FLL","JFK","25.0","30.0","-5.0","-16.0"
"B6","SFO","FLL","JFK","25.0","30.0","-4.0","-14.0"
"AA","SFO","PHX","JFK","48.0","42.0","28.0","-4.0"
"VX","SFO","LAS","JFK","-3.0","-4.0","23.0","-1.0"
"AA","SFO","MIA","JFK","-2.0","-12.0","-2.0","-5.0"
"DL","SFO","ATL","JFK","-6.0","-32.0","-3.0","-16.0"
"AA","SFO","DFW","JFK","-4.0","-30.0","1.0","-10.0"
"VX","SFO","LAX","JFK","-4.0","-10.0","-2.0","-31.0"
"DL","SFO","LAX","JFK","-9.0","-12.0","-1.0","-38.0"
"AA","SFO","ORD","JFK","18.0","2.0","23.0","21.0"
"DL","SFO","ATL","JFK","57.0","49.0","3.0","-9.0"
"AA","SFO","MIA","JFK","-5.0","-13.0","31.0","68.0"
"B6","SFO","BOS","JFK","-3.0","-9.0","31.0","20.0"
"DL","SFO","ATL","JFK","12.0","9.0","14.0","16.0"
"AA","SFO","LAX","JFK","61.0","52.0","67.0","75.0"
"AA","SFO","LAX","JFK","61.0","52.0","-7.0","0.0"
"AA","SFO","MIA","JFK","2.0","-14.0","2.0","-9.0"
"AA","SFO","ORD","JFK","5.0","-18.0","0.0","-20.0"
"VX","SFO","LAX","JFK","-1.0","7.0","2.0","-20.0"
"AA","SFO","CLT","JFK","10.0","2.0","37.0","27.0"
"DL","SFO","ATL","JFK","-5.0","-10.0","14.0","9.0"
"B6","SFO","LAS","JFK","-6.0","1.0","4.0","-21.0"
"AA","SFO","ORD","JFK","26.0","3.0","8.0","21.0"
"AA","SFO","ORD","JFK","-2.0","-20.0","-8.0","-23.0"
"DL","SFO","LAX","JFK","39.0","29.0","-5.0","-36.0"
"AS","SFO","SEA","JFK","-4.0","-14.0","14.0","4.0"
"DL","SFO","LAX","JFK","5.0","-7.0","-1.0","-26.0"
"DL","SFO","LAX","JFK","5.0","-7.0","-1.0","-28.0"
"AA","SFO","DFW","JFK","-1.0","2.0","-2.0","-27.0"
"AA","SFO","MIA","JFK","17.0","-7.0","46.0","52.0"
"AA","SFO","DFW","JFK","-2.0","-17.0","17.0","-3.0"
"AA","SFO","ORD","JFK","0.0","-4.0","-4.0","-7.0"
"B6","SFO","LAS","JFK","-6.0","3.0","6.0","-5.0"
"B6","SFO","LAS","JFK","61.0","53.0","1.0","-11.0"
"VX","SFO","LAX","JFK","52.0","65.0","126.0","102.0"
"AA","SFO","MIA","JFK","2.0","-14.0","-2.0","10.0"
"AA","SFO","PHX","JFK","3.0","17.0","13.0","3.0"
"B6","SFO","FLL","JFK","6.0","-8.0","2.0","-5.0"
"VX","SFO","LAX","JFK","-6.0","-12.0","6.0","7.0"
"DL","SFO","LAX","JFK","-5.0","24.0","15.0","7.0"
"AA","SFO","CLT","JFK","-5.0","-15.0","8.0","17.0"
"DL","SFO","LAX","JFK","-2.0","-9.0","33.0","1.0"
"DL","SFO","ATL","JFK","-1.0","-10.0","-1.0","-14.0"
"DL","SFO","LAX","JFK","88.0","77.0","-1.0","-2.0"
"DL","SFO","ATL","JFK","-1.0","-13.0","0.0","-13.0"
"DL","SFO","ATL","JFK","-4.0","-14.0","-1.0","-22.0"
"AA","SFO","MIA","JFK","98.0","87.0","-1.0","-2.0"
"B6","SFO","FLL","JFK","4.0","5.0","-4.0","-4.0"
"B6","SFO","FLL","JFK","4.0","5.0","-6.0","1.0"
"DL","SFO","ATL","JFK","6.0","-9.0","13.0","-5.0"
"DL","SFO","LAX","JFK","11.0","12.0","35.0","15.0"
"VX","SFO","LAS","JFK","-2.0","-13.0","13.0","-9.0"
"VX","SFO","LAX","JFK","11.0","22.0","31.0","7.0"
"AA","SFO","CLT","JFK","-5.0","1.0","27.0","24.0"
"AA","SFO","DFW","JFK","-5.0","-31.0","-2.0","-19.0"
"AA","SFO","CLT","JFK","7.0","-13.0","17.0","12.0"
"AA","SFO","LAX","JFK","-5.0","-19.0","25.0","-27.0"
"AA","SFO","LAX","JFK","-5.0","-19.0","21.0","4.0"
"B6","SFO","FLL","JFK","475.0","464.0","8.0","-6.0"
"B6","SFO","FLL","JFK","475.0","464.0","17.0","2.0"
"AA","SFO","LAX","JFK","-7.0","-23.0","-6.0","4.0"
"AA","SFO","LAX","JFK","-7.0","-23.0","-5.0","-15.0"
"AA","SFO","CLT","JFK","-11.0","-4.0","-4.0","-16.0"
"DL","SFO","ATL","JFK","12.0","16.0","1.0","-10.0"
"AA","SFO","DFW","JFK","-8.0","-3.0","0.0","15.0"
"AA","SFO","LAX","JFK","34.0","36.0","73.0","60.0"
"DL","SFO","LAX","JFK","-3.0","0.0","-3.0","-2.0"
"AA","SFO","CLT","JFK","0.0","-19.0","1.0","11.0"
"AA","SFO","LAX","JFK","62.0","71.0","22.0","7.0"
"B6","SFO","FLL","JFK","-1.0","-7.0","-13.0","-4.0"
"B6","SFO","FLL","JFK","-1.0","-7.0","-5.0","2.0"
"AS","SFO","SEA","JFK","-12.0","-11.0","-1.0","-46.0"
"AA","SFO","LAX","JFK","3.0","-2.0","-2.0","-15.0"
"AA","SFO","LAX","JFK","3.0","-2.0","-1.0","-17.0"
"AA","SFO","LAX","JFK","17.0","0.0","-8.0","-15.0"
"DL","SFO","LAX","JFK","2.0","0.0","10.0","-4.0"
"AA","SFO","ORD","JFK","-2.0","-21.0","8.0","21.0"
"DL","SFO","ATL","JFK","2.0","-11.0","-2.0","14.0"
"AA","SFO","CLT","JFK","-4.0","-14.0","7.0","-1.0"
"VX","SFO","LAX","JFK","-5.0","-1.0","0.0","-15.0"
"DL","SFO","LAX","JFK","-2.0","15.0","0.0","-18.0"
"VX","SFO","LAX","JFK","-4.0","14.0","2.0","-12.0"
"AA","SFO","LAX","JFK","-4.0","-14.0","-3.0","-12.0"
"DL","SFO","LAX","JFK","5.0","14.0","16.0","4.0"
"DL","SFO","LAX","JFK","-1.0","5.0","-3.0","-11.0"
"DL","SFO","ATL","JFK","-2.0","-15.0","57.0","23.0"
"VX","SFO","LAX","JFK","1.0","-7.0","-6.0","-17.0"
"DL","SFO","LAX","JFK","81.0","93.0","16.0","-7.0"
"AA","SFO","LAX","JFK","12.0","5.0","0.0","-11.0"
"AA","SFO","LAX","JFK","12.0","5.0","-2.0","-20.0"
"AA","SFO","PHX","JFK","0.0","-7.0","33.0","1.0"
"VX","SFO","LAX","JFK","23.0","17.0","-1.0","-41.0"
"AA","SFO","DFW","JFK","-3.0","-14.0","-4.0","32.0"
"B6","SFO","FLL","JFK","-3.0","19.0","-2.0","1.0"
"DL","SFO","SLC","JFK","13.0","1.0","7.0","-14.0"
"B6","SFO","FLL","JFK","159.0","164.0","102.0","105.0"
"AA","SFO","LAX","JFK","28.0","18.0","-1.0","17.0"
"AA","SFO","LAX","JFK","28.0","18.0","5.0","5.0"
"DL","SFO","ATL","JFK","14.0","-2.0","0.0","-18.0"
"VX","SFO","LAX","JFK","-1.0","4.0","-7.0","-5.0"
"AA","SFO","CLT","JFK","169.0","181.0","6.0","-4.0"
"DL","SFO","LAX","JFK","55.0","55.0","15.0","4.0"
"B6","SFO","FLL","JFK","193.0","185.0","33.0","24.0"
"DL","SFO","ATL","JFK","1.0","-15.0","-1.0","-16.0"
"AA","SFO","CLT","JFK","-1.0","-6.0","28.0","27.0"
"AA","SFO","PHX","JFK","0.0","-22.0","17.0","3.0"
"DL","SFO","ATL","JFK","66.0","45.0","78.0","60.0"
"AA","SFO","LAX","JFK","-4.0","10.0","48.0","7.0"
"AA","SFO","PHX","JFK","10.0","-8.0","4.0","-27.0"
"VX","SFO","LAX","JFK","15.0","8.0","6.0","-8.0"
"AA","SFO","DFW","JFK","-4.0","-23.0","0.0","-23.0"
"B6","SFO","BOS","JFK","-3.0","-37.0","6.0","-7.0"
"DL","SFO","ATL","JFK","15.0","-5.0","3.0","-14.0"
"DL","SFO","LAX","JFK","-5.0","-12.0","29.0","34.0"
"AA","SFO","CLT","JFK","-8.0","10.0","56.0","53.0"
"AA","SFO","CLT","JFK","26.0","24.0","-1.0","6.0"
"AA","SFO","PHX","JFK","152.0","140.0","4.0","-17.0"
"DL","SFO","ATL","JFK","156.0","166.0","-1.0","-18.0"
"AA","SFO","DFW","JFK","-5.0","-16.0","24.0","14.0"
"AA","SFO","CLT","JFK","32.0","33.0","6.0","-4.0"
"AA","SFO","CLT","JFK","-3.0","-9.0","74.0","86.0"
"VX","SFO","LAX","JFK","-2.0","0.0","45.0","57.0"
"AA","SFO","LAX","JFK","32.0","15.0","-5.0","-4.0"
"AA","SFO","LAX","JFK","32.0","15.0","11.0","-8.0"
"DL","SFO","DTW","JFK","10.0","-24.0","-4.0","-16.0"
"AS","SFO","SEA","JFK","-6.0","-21.0","7.0","-7.0"
"VX","SFO","LAX","JFK","61.0","50.0","6.0","-8.0"
"DL","SFO","DTW","JFK","-5.0","-38.0","0.0","-4.0"
"AA","SFO","MIA","JFK","-2.0","-19.0","-4.0","-28.0"
"AA","SFO","PHX","JFK","-2.0","-14.0","12.0","14.0"
"AA","SFO","PHX","JFK","-7.0","-18.0","-3.0","9.0"
"VX","SFO","LAX","JFK","3.0","-4.0","14.0","15.0"
"DL","SFO","ATL","JFK","-3.0","1.0","1.0","11.0"
"DL","SFO","ATL","JFK","-2.0","-6.0","1.0","11.0"
"AA","SFO","PHX","JFK","-6.0","-6.0","10.0","27.0"
"VX","SFO","LAX","JFK","-7.0","-10.0","-4.0","5.0"
"AA","SFO","ORD","JFK","-2.0","-30.0","-2.0","-13.0"
"AA","SFO","CLT","JFK","2.0","-3.0","-6.0","-9.0"
"DL","SFO","ATL","JFK","19.0","-8.0","-4.0","-19.0"
"VX","SFO","LAX","JFK","-5.0","0.0","1.0","-30.0"
"AA","SFO","CLT","JFK","13.0","-19.0","1.0","-2.0"
"DL","SFO","ATL","JFK","1.0","-19.0","-2.0","7.0"
"AA","SFO","CLT","JFK","-3.0","-1.0","-2.0","1.0"
"DL","SFO","LAX","JFK","17.0","15.0","-2.0","-6.0"
"DL","SFO","LAX","JFK","17.0","15.0","19.0","0.0"
"B6","SFO","BOS","JFK","10.0","-7.0","-3.0","-7.0"
"DL","SFO","LAX","JFK","-2.0","-12.0","3.0","-7.0"
"AA","SFO","DFW","JFK","-5.0","-10.0","4.0","-8.0"
"B6","SFO","LAS","JFK","143.0","133.0","7.0","13.0"
"VX","SFO","LAX","JFK","109.0","138.0","21.0","15.0"
"B6","SFO","BOS","JFK","-8.0","-26.0","195.0","194.0"
"AA","SFO","PHX","JFK","-5.0","8.0","33.0","78.0"
"DL","SFO","MSP","JFK","0.0","-3.0","-4.0","-27.0"
"VX","SFO","LAX","JFK","5.0","0.0","23.0","-1.0"
"B6","SFO","LAS","JFK","-7.0","-4.0","7.0","-14.0"
"AS","SFO","SEA","JFK","-10.0","-7.0","-5.0","-38.0"
"VX","SFO","LAX","JFK","-5.0","-4.0","2.0","-12.0"
"AA","SFO","ORD","JFK","1.0","-7.0","300.0","290.0"
"AA","SFO","CLT","JFK","20.0","11.0","10.0","-5.0"
"DL","SFO","DTW","JFK","-1.0","-24.0","66.0","55.0"
"DL","SFO","ATL","JFK","1.0","-24.0","3.0","-11.0"
"AA","SFO","MIA","JFK","89.0","82.0","-4.0","-24.0"
"B6","SFO","LAS","JFK","-3.0","-14.0","5.0","-1.0"
"AA","SFO","PHX","JFK","-3.0","-13.0","6.0","-31.0"
"VX","SFO","LAX","JFK","-4.0","-12.0","28.0","7.0"
"AA","SFO","PHX","JFK","-7.0","-7.0","0.0","-16.0"
"AA","SFO","LAX","JFK","-6.0","-14.0","-7.0","20.0"
"AA","SFO","DFW","JFK","-6.0","-3.0","-1.0","17.0"
"AA","SFO","LAX","JFK","0.0","2.0","256.0","235.0"
"VX","SFO","LAX","JFK","-8.0","3.0","1.0","2.0"
"AA","SFO","LAX","JFK","26.0","21.0","-1.0","-5.0"
"DL","SFO","MSP","JFK","-4.0","-20.0","2.0","-11.0"
"B6","SFO","LAS","JFK","7.0","-11.0","-7.0","-12.0"
"B6","SFO","FLL","JFK","27.0","19.0","-3.0","1.0"
"DL","SFO","ATL","JFK","-2.0","-8.0","-1.0","-17.0"
"VX","SFO","LAX","JFK","-6.0","-5.0","0.0","5.0"
"DL","SFO","LAX","JFK","-3.0","5.0","9.0","-4.0"
"AA","SFO","DFW","JFK","-3.0","-11.0","-4.0","-8.0"
"AA","SFO","CLT","JFK","16.0","5.0","-5.0","-4.0"
"DL","SFO","LAX","JFK","12.0","13.0","-3.0","-5.0"
"DL","SFO","LAX","JFK","12.0","13.0","-6.0","3.0"
"DL","SFO","MSP","JFK","-3.0","-15.0","-2.0","-6.0"
"AA","SFO","DFW","JFK","-6.0","-11.0","2.0","-1.0"
"AA","SFO","LAX","JFK","-4.0","-8.0","-3.0","9.0"
"VX","SFO","LAX","JFK","68.0","57.0","-4.0","12.0"
"AA","SFO","PHX","JFK","4.0","8.0","-1.0","3.0"
"AA","SFO","CLT","JFK","22.0","47.0","14.0","6.0"
"DL","SFO","ATL","JFK","14.0","30.0","-2.0","-14.0"
"DL","SFO","LAX","JFK","-1.0","-13.0","6.0","-31.0"
"AA","SFO","LAX","JFK","10.0","8.0","-4.0","-7.0"
"AA","SFO","CLT","JFK","-3.0","-1.0","7.0","19.0"
"DL","SFO","LAX","JFK","14.0","9.0","22.0","-4.0"
"VX","SFO","LAX","JFK","-3.0","4.0","31.0","7.0"
"DL","SFO","LAX","JFK","72.0","76.0","10.0","-20.0"
"AA","SFO","CLT","JFK","-2.0","5.0","-1.0","-7.0"
"DL","SFO","ATL","JFK","-2.0","-17.0","7.0","-7.0"
"DL","SFO","ATL","JFK","0.0","-26.0","-1.0","-33.0"
"AA","SFO","ORD","JFK","-4.0","-24.0","31.0","57.0"
"DL","SFO","LAX","JFK","-3.0","-3.0","-1.0","-4.0"
"DL","SFO","LAX","JFK","28.0","7.0","-2.0","-6.0"
"DL","SFO","LAX","JFK","-6.0","-2.0","4.0","1.0"
"VX","SFO","LAS","JFK","88.0","90.0","102.0","100.0"
"DL","SFO","LAX","JFK","89.0","80.0","14.0","4.0"
"DL","SFO","LAX","JFK","89.0","80.0","0.0","-15.0"
"B6","SFO","LAS","JFK","-1.0","-12.0","0.0","-3.0"
"AA","SFO","CLT","JFK","-5.0","-19.0","2.0","-11.0"
"B6","SFO","FLL","JFK","0.0","-6.0","0.0","-7.0"
"B6","SFO","FLL","JFK","0.0","-6.0","-1.0","-3.0"
"AA","SFO","ORD","JFK","-2.0","-22.0","-7.0","-11.0"
"DL","SFO","ATL","JFK","-5.0","-21.0","-1.0","-23.0"
"AA","SFO","LAX","JFK","-10.0","-16.0","13.0","8.0"
"AA","SFO","LAX","JFK","-10.0","-16.0","-10.0","-13.0"
"AA","SFO","ORD","JFK","1.0","-1.0","-2.0","-11.0"
"DL","SFO","ATL","JFK","1.0","-7.0","-3.0","-29.0"
"AA","SFO","PHX","JFK","8.0","2.0","-1.0","-8.0"
"DL","SFO","ATL","JFK","-1.0","-3.0","2.0","-19.0"
"DL","SFO","ATL","JFK","8.0","22.0","4.0","10.0"
"AA","SFO","PHX","JFK","-4.0","-18.0","1.0","0.0"
"AA","SFO","MIA","JFK","45.0","19.0","30.0","37.0"
"DL","SFO","LAX","JFK","-6.0","-8.0","72.0","51.0"
"AA","SFO","LAX","JFK","74.0","57.0","-2.0","-15.0"
"AA","SFO","LAX","JFK","-3.0","-3.0","-2.0","-15.0"
"AA","SFO","LAX","JFK","-1.0","34.0","-5.0","2.0"
"VX","SFO","LAX","JFK","-3.0","-14.0","4.0","-23.0"
"AA","SFO","MIA","JFK","4.0","-8.0","-7.0","-5.0"
"VX","SFO","LAX","JFK","130.0","123.0","54.0","66.0"
"AA","SFO","LAX","JFK","2.0","17.0","2.0","-16.0"
"B6","SFO","FLL","JFK","87.0","116.0","33.0","27.0"
"AA","SFO","MIA","JFK","12.0","-14.0","-5.0","-1.0"
"DL","SFO","LAX","JFK","3.0","-3.0","42.0","15.0"
"VX","SFO","LAX","JFK","3.0","-2.0","0.0","-35.0"
"AA","SFO","PHX","JFK","12.0","-1.0","19.0","-19.0"
"AA","SFO","CLT","JFK","-2.0","-22.0","-1.0","-5.0"
"VX","SFO","LAX","JFK","25.0","12.0","-3.0","-33.0"
"B6","SFO","FLL","JFK","-3.0","1.0","0.0","-4.0"
"B6","SFO","FLL","JFK","-3.0","1.0","-6.0","-15.0"
"AA","SFO","CLT","JFK","-2.0","13.0","-1.0","15.0"
"AA","SFO","CLT","JFK","-2.0","13.0","2.0","9.0"
"AA","SFO","DFW","JFK","-2.0","25.0","35.0","31.0"
"AA","SFO","PHX","JFK","-7.0","-8.0","-5.0","16.0"
"DL","SFO","ATL","JFK","0.0","4.0","8.0","-9.0"
"AA","SFO","ORD","JFK","-7.0","-20.0","-4.0","-20.0"
"DL","SFO","LAX","JFK","-3.0","0.0","-3.0","-2.0"
"B6","SFO","FLL","JFK","16.0","21.0","-1.0","-2.0"
"B6","SFO","LAS","JFK","-5.0","-25.0","-3.0","-12.0"
"B6","SFO","BOS","JFK","7.0","-3.0","-1.0","4.0"
"B6","SFO","FLL","JFK","-3.0","-12.0","-3.0","-20.0"
"DL","SFO","LAX","JFK","23.0","27.0","-9.0","-8.0"
"DL","SFO","LAX","JFK","8.0","8.0","-1.0","4.0"
"AA","SFO","CLT","JFK","0.0","-24.0","-4.0","-13.0"
"AA","SFO","ORD","JFK","-3.0","-38.0","-7.0","-14.0"
"AA","SFO","LAX","JFK","25.0","22.0","4.0","-15.0"
"AA","SFO","LAX","JFK","25.0","22.0","40.0","35.0"
"VX","SFO","LAS","JFK","-3.0","0.0","6.0","-8.0"
"AA","SFO","LAX","JFK","-3.0","8.0","-7.0","22.0"
"AA","SFO","LAX","JFK","-3.0","8.0","40.0","35.0"
"AA","SFO","DFW","JFK","-3.0","-7.0","4.0","3.0"
"DL","SFO","LAX","JFK","17.0","15.0","39.0","6.0"
"VX","SFO","LAX","JFK","-3.0","-3.0","1.0","-30.0"
"DL","SFO","DTW","JFK","-6.0","-15.0","0.0","-17.0"
"VX","SFO","LAX","JFK","-6.0","-16.0","12.0","-11.0"
"DL","SFO","ATL","JFK","-8.0","19.0","35.0","15.0"
"B6","SFO","BOS","JFK","-6.0","-10.0","3.0","3.0"
"DL","SFO","LAX","JFK","13.0","41.0","-3.0","-21.0"
"VX","SFO","LAX","JFK","13.0","47.0","21.0","15.0"
"AA","SFO","CLT","JFK","0.0","-13.0","9.0","27.0"
"VX","SFO","LAX","JFK","-6.0","-11.0","66.0","52.0"
"AS","SFO","SEA","JFK","-17.0","-2.0","-2.0","-21.0"
"AA","SFO","MIA","JFK","2.0","-11.0","-1.0","-20.0"
"AA","SFO","PHX","JFK","-1.0","1.0","-4.0","-43.0"
"DL","SFO","LAX","JFK","-2.0","-5.0","-6.0","-23.0"
"VX","SFO","LAX","JFK","23.0","16.0","0.0","-15.0"
"VX","SFO","LAX","JFK","1.0","2.0","-1.0","-23.0"
"DL","SFO","ATL","JFK","2.0","-8.0","0.0","-21.0"
"DL","SFO","ATL","JFK","-1.0","-23.0","0.0","-21.0"
"AA","SFO","LAX","JFK","0.0","2.0","8.0","19.0"
"AA","SFO","LAX","JFK","0.0","2.0","-4.0","-19.0"
"VX","SFO","LAX","JFK","-4.0","-10.0","2.0","-24.0"
"VX","SFO","LAX","JFK","-3.0","-7.0","16.0","3.0"
"AA","SFO","CLT","JFK","-4.0","-27.0","-3.0","-18.0"
"DL","SFO","LAX","JFK","20.0","43.0","25.0","40.0"
"DL","SFO","LAX","JFK","20.0","43.0","1.0","20.0"
"AA","SFO","PHX","JFK","-3.0","-7.0","-2.0","-6.0"
"AA","SFO","PHX","JFK","4.0","6.0","19.0","35.0"
"AA","SFO","DFW","JFK","-6.0","-24.0","20.0","13.0"
"DL","SFO","MSP","JFK","-1.0","-4.0","0.0","-18.0"
"AA","SFO","MIA","JFK","-3.0","-14.0","0.0","13.0"
"DL","SFO","ATL","JFK","8.0","-7.0","7.0","1.0"
"AA","SFO","ORD","JFK","17.0","8.0","11.0","24.0"
"B6","SFO","FLL","JFK","-2.0","10.0","38.0","28.0"
"B6","SFO","FLL","JFK","-2.0","10.0","14.0","-5.0"
"AS","SFO","SEA","JFK","-11.0","-15.0","-3.0","-2.0"
"DL","SFO","ATL","JFK","-3.0","-3.0","-1.0","-20.0"
"DL","SFO","ATL","JFK","1.0","-16.0","32.0","20.0"
"AA","SFO","LAX","JFK","-6.0","-26.0","-5.0","4.0"
"AA","SFO","LAX","JFK","-7.0","-20.0","45.0","34.0"
"AA","SFO","LAX","JFK","-7.0","-20.0","-5.0","-18.0"
"AA","SFO","PHX","JFK","-8.0","-16.0","0.0","24.0"
"VX","SFO","LAX","JFK","0.0","2.0","4.0","-17.0"
"VX","SFO","LAX","JFK","-2.0","8.0","4.0","-17.0"
"AA","SFO","CLT","JFK","-4.0","-11.0","-2.0","29.0"
"DL","SFO","ATL","JFK","-3.0","-12.0","-2.0","-28.0"
"AA","SFO","PHX","JFK","3.0","-4.0","-4.0","2.0"
"DL","SFO","LAX","JFK","-4.0","21.0","35.0","22.0"
"DL","SFO","ATL","JFK","1.0","21.0","-2.0","-14.0"
"B6","SFO","BOS","JFK","-5.0","-1.0","1.0","-3.0"
